Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-07-21T22:59:59.000Z,10551.1316333347,11004.396573273,11096.7744188936,10314.2661819319
BTC,2019-07-22T23:00:00.000Z,10285.6392306749,10551.127853068,10685.2481729702,10071.5224860373
BTC,2019-07-23T22:59:59.000Z,10027.5326122485,10285.6348208302,10338.63883502,9882.631831681
BTC,2019-07-24T22:59:59.000Z,9771.5047613175,9867.2650278599,9916.4775798314,9510.6239874291
BTC,2019-07-25T22:59:59.000Z,9897.4293515161,9771.5048190312,10184.4403703329,9738.0890848498
BTC,2019-07-26T23:00:00.000Z,9812.2263505784,9897.4134463384,9924.6025631283,9643.8818286496
BTC,2019-07-27T23:00:00.000Z,9440.1400373076,9812.2066384441,10193.5339692602,9306.1035315409
BTC,2019-07-28T22:59:59.000Z,9495.855261405,9459.6742423727,9603.3192747289,9134.3993522774
BTC,2019-07-29T22:59:59.000Z,9506.704273142,9528.6934430847,9717.5142776084,9373.36942847
BTC,2019-07-30T23:00:00.000Z,9572.735371803,9506.6980276749,9719.981661389,9387.2237202366
BTC,2019-07-31T22:59:59.000Z,10005.2944733245,9572.7384640587,10132.4047252828,9572.738439238
BTC,2019-08-01T22:59:59.000Z,10385.2006061246,10005.2892918685,10474.7817377768,9884.7377276261
BTC,2019-08-02T22:59:59.000Z,10513.9114715942,10385.2129717491,10663.6187858619,10329.1969177772
BTC,2019-08-03T22:59:59.000Z,10831.2598554087,10513.9147450743,10909.2559240906,10498.9444263068
BTC,2019-08-04T22:59:59.000Z,10985.8075416287,10831.2503019415,11051.9857922455,10573.7772973823
BTC,2019-08-05T22:59:59.000Z,11811.7870541507,10985.8308827386,11940.4838657553,10939.5690792781
BTC,2019-08-06T22:59:59.000Z,11310.187223605,11811.8035625011,12314.107664862,11219.4037828653
BTC,2019-08-07T22:59:59.000Z,11956.0472230184,11310.2216405931,12129.4097391128,11283.6761111563
BTC,2019-08-08T23:00:00.000Z,11817.4554825164,11956.0228070619,12032.0465280883,11502.5279891368
BTC,2019-08-09T22:59:59.000Z,11827.5745716918,11972.5929466786,12027.2599058138,11654.6632478994
BTC,2019-08-10T23:00:00.000Z,11278.2812549022,11827.5745728427,11967.8779622672,11227.6222137083
BTC,2019-08-11T23:00:00.000Z,11485.3657829898,11279.875538619,11545.1045253183,11101.0148454184
BTC,2019-08-12T22:59:59.000Z,11391.9686539038,11485.3640773925,11583.8906973405,11227.4406640768
BTC,2019-08-13T22:59:59.000Z,10869.3791128623,11391.9638254355,11434.8885296357,10746.7559476825
BTC,2019-08-14T22:59:59.000Z,10211.4985816982,10851.200469968,10860.8239741865,10047.9951301391
BTC,2019-08-15T23:00:00.000Z,10386.5395500195,10211.509511264,10444.0799631082,9682.7114223927
BTC,2019-08-16T23:00:00.000Z,10388.4505925604,10307.2597589846,10530.365307162,9726.9781503814
BTC,2019-08-17T22:59:59.000Z,10212.1014417394,10388.4580419409,10463.9187086365,9994.1082464545
BTC,2019-08-18T22:59:59.000Z,10335.3728385716,10211.6709254074,10462.7495056741,10082.2654915398
BTC,2019-08-19T23:00:00.000Z,10774.8103058331,10335.3744772756,10812.7970799622,10264.4564614099
BTC,2019-08-20T22:59:59.000Z,10818.5070076193,10774.8242118954,10943.8704129867,10531.4885593807
BTC,2019-08-21T22:59:59.000Z,10064.9167944793,10818.5226287878,10818.5891317862,9864.136684453
BTC,2019-08-22T23:00:00.000Z,10161.1647494901,10064.9310569138,10229.0170057546,9762.0524126348
BTC,2019-08-23T22:59:59.000Z,10364.2813536875,10103.4428968157,10450.2923381724,10034.0864475747
BTC,2019-08-24T23:00:00.000Z,10171.4974606754,10392.6163373387,10408.9638527379,9901.48601199
BTC,2019-08-25T22:59:59.000Z,10068.922419922,10171.4901866522,10292.8410213641,9911.5088196017
BTC,2019-08-26T22:59:59.000Z,10312.2150398496,10138.5708591703,10624.6051684248,10136.0717230708
BTC,2019-08-27T23:00:00.000Z,10122.1965329581,10312.1968630254,10402.2974923049,10042.8792879247
BTC,2019-08-28T22:59:59.000Z,9743.1620510451,10169.1427383499,10279.2542249405,9600.8350390244
BTC,2019-08-29T22:59:59.000Z,9487.9764335192,9743.1587296904,9747.1198283495,9325.3941544287
BTC,2019-08-30T22:59:59.000Z,9590.7363369227,9487.9600487016,9682.7255361249,9343.706051107
BTC,2019-08-31T22:59:59.000Z,9624.9839105321,9580.7613524785,9699.8643785368,9406.4444841648
BTC,2019-09-01T22:59:59.000Z,9780.6678970327,9624.9799668178,9819.1586219728,9552.150793747
BTC,2019-09-02T23:00:00.000Z,10381.8559592516,9781.8643381081,10440.2204552588,9738.2475728895
BTC,2019-09-03T22:59:59.000Z,10691.31129913,10366.3738173131,10752.421494933,10290.4944163268
BTC,2019-09-04T22:59:59.000Z,10555.0469008368,10691.3185189859,10810.0181694004,10185.2579080405
BTC,2019-09-05T22:59:59.000Z,10576.3178915251,10555.0623986939,10643.9460656338,10463.8132938419
BTC,2019-09-06T22:59:58.000Z,10334.0238858467,10576.325191402,10928.3438130991,10201.6083180634
BTC,2019-09-07T22:59:59.000Z,10495.2273642085,10333.9990632916,10563.7108903098,10288.7531640979
BTC,2019-09-08T22:59:59.000Z,10402.7965306911,10485.4097238908,10595.1955635918,10244.5825763984
BTC,2019-09-09T22:59:59.000Z,10332.9421881057,10402.7679483575,10524.3869543828,10097.980384673
BTC,2019-09-10T22:59:59.000Z,10082.9468264833,10332.9372738617,10380.3065877429,9956.122723091
BTC,2019-09-11T22:59:59.000Z,10152.7529840771,10107.4950381242,10269.0303923868,9891.8033006502
BTC,2019-09-12T22:59:58.000Z,10396.7672047403,10152.7606229694,10459.9266066139,10055.264493713
BTC,2019-09-13T23:00:00.000Z,10299.4769604855,10396.7622589643,10447.3886320838,10167.9910490121
BTC,2019-09-14T22:59:58.000Z,10351.2320218437,10299.4945680727,10425.9118165804,10229.4541811551
BTC,2019-09-15T23:00:00.000Z,10302.1907136783,10361.0856374306,10381.5645871136,10267.8654622876
BTC,2019-09-16T22:59:59.000Z,10301.6596516938,10306.1484003644,10373.063508627,10093.1402791067
BTC,2019-09-17T22:59:59.000Z,10231.4215119596,10301.6612572095,10304.6236445462,10145.3457608603
BTC,2019-09-18T23:00:00.000Z,10168.2877093815,10231.4130246146,10263.8233825536,10094.3250130397
BTC,2019-09-19T22:59:59.000Z,10223.5055788024,10166.778772232,10286.0107495563,9687.2941604435
BTC,2019-09-20T22:59:59.000Z,10138.3352052234,10223.5070882201,10289.215657675,10065.6289399979
BTC,2019-09-21T23:00:00.000Z,9984.520515967,10138.3575582109,10179.7424745144,9908.5728146086
BTC,2019-09-22T23:00:00.000Z,10031.8667089936,9984.5188569016,10083.0981311308,9850.7530853868
BTC,2019-09-23T22:59:58.000Z,9719.7186961077,10031.8668723599,10062.9198651927,9630.6957676786
BTC,2019-09-24T22:59:59.000Z,8688.9735259572,9719.7042573091,9770.1614839288,7944.3344976399
BTC,2019-09-25T22:59:59.000Z,8438.7085524873,8528.4647881237,8741.5095614673,8230.4665261865
BTC,2019-09-26T23:00:00.000Z,8103.2108995944,8438.7164590239,8462.412485799,7757.276118248
BTC,2019-09-27T22:59:58.000Z,8195.2106969967,8103.9015715921,8286.7432634801,7869.5531703496
BTC,2019-09-28T22:59:59.000Z,8146.4140320046,8183.3160575171,8321.1605871808,7723.6914190451
BTC,2019-09-29T22:59:59.000Z,8085.7132904218,8146.4229637683,8228.6414937867,7905.0177355603
BTC,2019-09-30T22:59:58.000Z,8241.3414700027,8055.6941385794,8331.291685876,7728.6784268333
BTC,2019-10-01T22:59:59.000Z,8333.6891904217,8298.6247752408,8508.7054089532,8195.0452436724
BTC,2019-10-02T22:59:59.000Z,8273.4640176573,8333.7102961953,8388.0158617972,8177.6946009014
BTC,2019-10-03T23:00:00.000Z,8203.8438327979,8273.457418693,8412.6500471359,8060.3253166919
BTC,2019-10-04T23:00:00.000Z,8163.9026381024,8231.7862486842,8240.9487694807,8014.4193228933
BTC,2019-10-05T22:59:58.000Z,8137.1466890387,8163.9014408188,8196.2495136292,8025.5004622684
BTC,2019-10-06T22:59:58.000Z,7853.6933048347,8138.8334890181,8171.5682535605,7802.4648508888
BTC,2019-10-07T23:00:00.000Z,8236.2083793045,7850.6845764281,8304.1401391898,7777.6315711193
BTC,2019-10-08T23:00:00.000Z,8201.6378181926,8236.2058748116,8316.9906726779,8113.1118049261
BTC,2019-10-09T22:59:59.000Z,8572.3808124348,8173.8388033611,8691.0726909608,8117.9122396114
BTC,2019-10-10T22:59:59.000Z,8582.1445177037,8572.3823010202,8654.3827760417,8435.1865102049
BTC,2019-10-11T22:59:58.000Z,8320.1715813968,8582.1481229343,8796.4572820666,8288.2276305072
BTC,2019-10-12T22:59:59.000Z,8328.6042603935,8320.1681544832,8406.1424145675,8225.3014573464
BTC,2019-10-13T22:59:59.000Z,8282.1773258265,8309.172912971,8468.9736397711,8167.2649036564
BTC,2019-10-14T22:59:59.000Z,8337.8189985374,8282.1815958386,8385.553410467,8214.3188684159
BTC,2019-10-16T22:59:59.000Z,8003.8203947876,8166.3447732561,8184.3864357352,7918.275881375
BTC,2019-10-17T22:59:59.000Z,8058.0580811125,8003.8192612882,8120.1211057353,7937.85216577
BTC,2019-10-18T23:00:00.000Z,7970.2394756046,8058.0588747305,8121.0458847574,7820.0663431405
BTC,2019-10-19T22:59:59.000Z,7943.3471070605,7956.8908024537,8095.9033915042,7882.64696812
BTC,2019-10-20T22:59:59.000Z,8200.3187633988,7943.3524118623,8306.0049011291,7884.5186252234
BTC,2019-10-21T22:59:59.000Z,8200.2460994923,8233.7994675616,8346.5564972109,8152.2378874061
BTC,2019-10-22T23:00:00.000Z,8073.4095438836,8200.2443815085,8309.6653283231,8054.948064535
BTC,2019-10-23T22:59:59.000Z,7420.4158364928,8027.2938149864,8054.9948877667,7307.3919459376
BTC,2019-10-24T23:00:00.000Z,7460.6174159279,7420.4140343537,7503.5997636313,7347.6308650578
BTC,2019-10-25T23:00:00.000Z,8591.2238974163,7421.5718045224,8762.6804975733,7393.2614130168
BTC,2019-10-26T23:00:00.000Z,9171.3065318558,8591.236577377,10332.4095068033,8591.225767542
BTC,2019-10-27T22:59:59.000Z,9578.3675560737,9259.5218725081,9813.4438845701,9103.7371342798
BTC,2019-10-28T23:00:00.000Z,9458.2233596272,9578.3643867381,9930.9740212146,9272.6566523034
BTC,2019-10-29T22:59:59.000Z,9455.7246926058,9228.0745024715,9551.7787262272,9125.7784571584
BTC,2019-10-30T22:59:58.000Z,9225.9954793378,9455.7281976834,9468.9632450573,9004.1323044173
